"iso","count"
"AQ","37"
"AR","57"
"AS","4"
"AU","31"
"BD","3"
"BG","5"
"CA","477"
"CH","15"
"CL","22"
"CN","121"
"CR","10"
"DK","5"
"DO","2"
"EC","25"
"EG","5"
"FR","95"
"GB","72"
"GE","5"
"GL","23"
"GR","20"
"GU","18"
"HK","5"
"HU","10"
"ID","14"
"IE","80"
"IL","40"
"IN","70"
"JP","49"
"KE","2"
"KR","5"
"MH","6"
"MP","6"
"MX","11"
"MY","10"
"NL","15"
"NZ","2"
"PA","3"
"PE","11"
"PG","3"
"PH","2"
"PL","10"
"RO","10"
"RU","6"
"SA","10"
"SB","2"
"SY","5"
"TH","6"
"TO","3"
"TR","25"
"TW","166"
"UA","5"
"US","22625"
"VN","3"
"WS","3"
NULL,"17"
